"character" "dialogue"
"175" "THREEPIO" "Artoo, where are we going? I couldn't possibly jump."
"176" "LUKE" "Come on!"
"177" "LUKE" "Let's go! And don't forget the droids."
"178" "LANDO" "We're on our way."
"179" "HAN" "I don't know. All I can see is a lot of blowing sand!"
"180" "LEIA" "That's all any of us can see."
"181" "HAN" "Then I guess I'm getting better."
"182" "HAN" "I've got to hand it to you, kid, you were pretty good out there."
"183" "LUKE" "I had a lot of help. Think nothing of it."
"184" "HAN" "No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!"
"185" "LUKE" "I'll see you back at the fleet."
"186" "HAN" "Why don't you leave that crate and come with us?"
"187" "LUKE" "I have a promise I have to keep first... to an old friend."
"188" "HAN" "Guess I owe you some thanks, too, Lando."
"189" "LANDO" "Figured if I left you frozen like that you'd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later."
"190" "LEIA" "He means \"You're welcome.\""
"191" "LANDO" "Come on, let's get off this miserable dust ball."
"192" "LUKE" "I'll meet you back at the fleet."
"193" "LEIA" "Hurry. The Alliance should be assembled by now."
"194" "LUKE" "I will."
"195" "HAN" "Hey, Luke, thanks. Thanks for comin' after me. Now I owe you one."
"196" "LUKE" "That's right, Artoo. We're going to the  Dagobah system. I have a promise to keep...  to an old friend."
"197" "EMPEROR" "Rise, my friend."
"198" "VADER" "The Death Star will be completed on schedule."
"199" "EMPEROR" "You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker."
"200" "VADER" "Yes, my Master."
"201" "EMPEROR" "Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force."
"202" "VADER" "As you wish."
"203" "EMPEROR" "Everything is proceeding as I have foreseen."
"204" "YODA" "Hmm. That face you make. Look I so old to young eyes?"
"205" "LUKE" "No... of course not."
"206" "YODA" "I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?"
"207" "YODA" "Soon will I rest. Yes, forever sleep. Earned it, I have."
"208" "LUKE" "Master Yoda, you can't die."
"209" "YODA" "Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force."
"210" "LUKE" "But I need your help. I've come back to complete the training."
"211" "YODA" "No more training do you require. Already know you that which you need."
"212" "LUKE" "Then I am a Jedi?"
"213" "YODA" "Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will."
"214" "LUKE" "Master Yoda... is Darth Vader my father?"
"215" "YODA" "Mmm... rest I need. Yes... rest."
"216" "LUKE" "Yoda, I must know."
"217" "YODA" "Your father he is."
"218" "YODA" "Told you, did he?"
"219" "LUKE" "Yes."
"220" "YODA" "Unexpected this is, and unfortunate.."
"221" "LUKE" "Unfortunate that I know the truth?"
"222" "YODA" "No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you."
"223" "LUKE" "Well, I'm sorry."
"224" "YODA" "Remember, a Jedi's strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny."
"225" "YODA" "Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father's fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker."
"226" "LUKE" "I can't do it, Artoo. I can't go on alone."
"227" "BEN" "Yoda will always be with you."
"228" "LUKE" "Obi-Wan! Why didn't you tell me?"
"229" "LUKE" "You told me Vader betrayed and murdered my father."
"230" "BEN" "You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view."
"231" "LUKE" "A certain point of view!"
"232" "BEN" "Luke, you're going to find that many of the truths we cling to depend greatly on our own point of view."
"233" "BEN" "I don't blame you for being angry. If I was wrong in what I did, it certainly wouldn't have been for the first time. You see, what happened to your father was my fault."
"234" "BEN" "Anakin was a good friend."
"235" "BEN" "When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him.  I took it upon myself to train him as a Jedi.  I thought that I could instruct him just as well as Yoda.  I was wrong.  My pride has had terrible consequences for the galaxy."
"236" "LUKE" "There's still good in him."
"237" "BEN" "I also thought he could be turned back to the good side. It couldn't be done. He is more machine now than man. Twisted and evil."
"238" "LUKE" "I can't do it, Ben."
"239" "BEN" "You cannot escape your destiny."
"240" "LUKE" "I tried to stop him once. I couldn't do it."
"241" "BEN" "Vader humbled you when first you met him, Luke...but that experience was part of your training. It taught you, among other things, the value of patience.  Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared."
"242" "LUKE" "But I had to help my friends."
"243" "BEN" "And did you help them? It was they who had to save you. You achieved little by rushing back prematurely, I fear."
"244" "LUKE" "I found out Darth Vader was my father."
"245" "BEN" "To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldn't get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. You're no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!"
"246" "LUKE" "I can't kill my own father."
"247" "BEN" "Then the Emperor has already won. You were our only hope."
"248" "LUKE" "Yoda spoke of another."
"249" "BEN" "The other he spoke of is your twin sister."
"250" "LUKE" "But I have no sister."
"251" "BEN" "Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous."
"252" "LUKE" "Leia! Leia's my sister."
"253" "BEN" "Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor."
"254" "BEN" "When your father left, he didn't know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  So I took you to live with my brother Owen on Tatooine... and your mother took Leia to live as the daughter of Senator Organa, on Alderaan."
"255" "BEN" "The Organa household was high-born and politically quite powerful in that system. Leia became a princess by virtue of lineage... no one knew she'd been adopted, of course. But it was a title without real power, since Alderaan had long been a democracy.  Even so, the family continued to be politically powerful, and Leia, following in her foster father's path, became a senator as well.  That's not all she became, of course... she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link for getting information to the Rebel cause.  That's what she was doing when her path crossed yours... for her foster parents had always told her to contact me on Tatooine, if her troubles became desperate."
"256" "LUKE" "But you can't let her get involved now, Ben. Vader will destroy her."
"257" "BEN" "She hasn't been trained in the ways of the Jedi the way you have, Luke ... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!"
"258" "HAN" "Well, look at you, a general, huh?"
"259" "LANDO" "Oh, well, someone must have told them about my little maneuver at the battle of Taanab."
"260" "HAN" "Well, don't look at me, pal. I just said you were a fair pilot. I didn't know they were lookin' for somebody to lead this crazy attack."
"261" "LANDO" "I'm surprised they didn't ask you to do it."
"262" "HAN" "Well, who says they didn't.  But I ain't crazy. You're the respectable one, remember?"
"263" "MON MOTHMA" "The Emperor has made a critical error and the time for our attack has come."
"264" "MON MOTHMA" "The data brought to us by the Bothan spies pinpoints the exact location of the Emperor's new battle station. We also know that the weapon systems of this Death Star are not yet operational. With the Imperial Fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. But most important of all, we've learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star."
"265" "MON MOTHMA" "Many Bothans died to bring us this information. Admiral Ackbar, please."
"266" "ACKBAR" "You can see here the Death Star orbiting the forest Moon of Endor. Although the weapon systems on this Death Star are not yet operational, the Death Star does have a strong defense mechanism. It is protected by an energy shield, which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor."
"267" "ACKBAR" "General Calrissian has volunteered to lead the fighter attack"
"268" "HAN" "Good luck."
"269" "HAN" "You're gonna need it."
"270" "ACKBAR" "General Madine."
"271" "GENERAL MADINE" "We have stolen a small Imperial shuttle. Disguised as a cargo ship, and using a secret Imperial code, a strike team will land on the moon and deactivate the shield generator."
"272" "THREEPIO" "Sounds dangerous."
"273" "LEIA" "I wonder who they found to pull that off."
"274" "GENERAL MADINE" "General Solo, is your strike team assembled?"
"275" "HAN" "Uh, my team's ready. I don't have a command crew for the shuttle."
"276" "HAN" "Well, it's gonna be rough, pal. I didn't want to speak for you."
"277" "HAN" "That's one."
"278" "LEIA" "Uh, General... count me in."
"279" "VOICE" "I'm with you, too!"
"280" "LEIA" "What is it?"
"281" "LUKE" "Ask me again sometime."
"282" "HAN" "Luke."
"283" "LUKE" "Hi, Han... Chewie."
"284" "THREEPIO" "\"Exciting\" is hardly the word I would use."
"285" "HAN" "Look. I want you to take her. I mean it. Take her. You need all the help you can get. She's the fastest ship in the fleet."
"286" "LANDO" "All right, old buddy. You know, I know what she means to you. I'll take good care of her. She-she won't get a scratch. All right?"
"287" "HAN" "Right. I got your promise now. Not a scratch."
"288" "LANDO" "Look, would you get going, you pirate."
"289" "LANDO" "Good luck."
"290" "HAN" "You, too."
"291" "HAN" "You got her warmed?"
"292" "LUKE" "Yeah, she's comin' up."
"293" "HAN" "No. I don't think the Empire had Wookiees in mind when they designed her, Chewie."
"294" "LEIA" "Hey, are you awake?"
"295" "HAN" "Yeah, I just got a funny feeling. Like I'm not gonna see her again."
"296" "LEIA" "Come on, General, let's move."
"297" "HAN" "Right. Chewie, let's see what this piece of junk can do. Ready, everybody?"
"298" "LUKE" "All set."
"299" "THREEPIO" "Here we go again."
"300" "HAN" "All right, hang on."
"301" "VADER" "What is thy bidding, my Master?"
"302" "EMPEROR" "Send the fleet to the far side of Endor. There it will stay until called for."
"303" "VADER" "What of the reports of the Rebel fleet massing near Sullust?"
"304" "EMPEROR" "It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is finished, my friend. Go out to the command ship and await my orders."
"305" "VADER" "Yes, my Master."
"306" "HAN" "If they don't go for this, we're gonna have to get outta here pretty quick, Chewie."
"307" "CONTROLLER" "We have you on our screen now. Please identify."
"308" "HAN" "Shuttle Tydirium requesting deactivation of the deflector shield."
"309" "CONTROLLER" "Shuttle Tydirium, transmit the clearance code for shield passage."
"310" "HAN" "Transmission commencing."
"311" "LEIA" "Now we find out if that code is worth the price we paid."
"312" "HAN" "It'll work. It'll work."
"313" "LUKE" "Vader's on that ship."
"314" "HAN" "Now don't get jittery, Luke. There are a lot of command ships. Keep your distance though, Chewie, but don't look like you're trying to keep your distance."
"315" "HAN" "I don't know.  Fly casual."
"316" "LUKE" "I'm endangering the mission. I shouldn't have come."
"317" "HAN" "It's your imagination, kid. Come on. Let's keep a little optimism here."
"318" "VADER" "Where is that shuttle going?"
"319" "PIETT" "Shuttle Tydirium, what is your cargo and destination?"
"320" "PILOT VOICE" "Parts and technical crew for the forest moon."
"321" "VADER" "Do they have a code clearance?"
"322" "PIETT" "It's an older code, sir, but it checks out. I was about to clear them."
"323" "PIETT" "Shall I hold them?"
"324" "VADER" "No. Leave them to me. I will deal with them myself."
"325" "PIETT" "As you wish, my lord.  Carry on."
"326" "HAN" "They're not goin' for it, Chewie."
"327" "CONTROLLER" "Shuttle Tydirium, deactivation of the shield will commence immediately. Follow your present course."
"328" "HAN" "Okay! I told you it was gonna work. No problem."
"329" "THREEPIO" "Oh, I told you it was dangerous here."
"330" "LEIA" "Shall we try and go around?"
"331" "HAN" "It'll take time. This whole party'll be for nothing if they see us."
"332" "HAN" "Chewie and I will take care of this. You stay here."
"333" "LUKE" "Quietly, there might be more of them out there."
"334" "HAN" "Hey... it's me."
"335" "SCOUT #1" "Go for help! Go!"
"336" "LUKE" "Great. Come on."
"337" "LEIA" "Over there! Two more of them!"
"338" "LUKE" "I see them. Wait, Leia!"
"339" "LUKE" "Quick! Jam their comlink. Center switch!"
"340" "HAN" "Hey, wait! Ahhh!"
"341" "LUKE" "Move closer!"
"342" "LUKE" "Get alongside that one!"
"343" "LUKE" "Get him!"
"344" "LUKE" "Keep on that one! I'll take these two!"
"345" "THREEPIO" "Oh, General Solo, somebody's coming. Oh!"
"346" "HAN" "Luke! Where's Leia?"
"347" "LUKE" "What? She didn't come back?"
"348" "HAN" "I thought she was with you."
"349" "LUKE" "We got separated."
"350" "LUKE" "Hey, we better go look for her."
"351" "HAN" "Take the squad ahead.  We'll meet at the shield generator at 0300."
"352" "LUKE" "Come on, Artoo.  We'll need your scanners."
"353" "THREEPIO" "Don't worry, Master Luke.  We know what to do."
"354" "THREEPIO" "And you said it was pretty here. Ugh!"
"355" "LEIA" "Cut it out!"
"356" "LEIA" "I'm not gonna hurt you."
"357" "LEIA" "Well, looks like I'm stuck here. Trouble is, I don't know where here is."
"358" "LEIA" "Well, maybe you can help me. Come on, sit down."
"359" "LEIA" "I promise I won't hurt you. Now come here."
"360" "LEIA" "All right. You want something to eat?"
"361" "LEIA" "That's right. Come on. Hmmm?"
"362" "LEIA" "Look, it's a hat. It's not gonna hurt you. Look. You're a jittery little thing, aren't you?"
"363" "LEIA" "What is it?"
"364" "SCOUT #l" "Freeze!  Come on, get up!"
"365" "SCOUT #1" "Go get your ride and take her back to base."
"366" "SCOUT #2" "Yes, sir."
"367" "LEIA" "Come on, let's get outta here."
"368" "GUARD" "Halt! The Emperor does not wish to be disturbed at the moment."
"369" "VADER" "The Emperor will see me, now!"
"370" "GUARD" "The Emperor will see you, now."
"371" "EMPEROR" "I told you to remain on the command ship."
"372" "VADER" "A small Rebel force has penetrated the shield and landed on Endor."
"373" "EMPEROR" "Yes, I know."
"374" "VADER" "My son is with them."
"375" "EMPEROR" "Are you sure?"
"376" "VADER" "I have felt him, my Master."
"377" "EMPEROR" "Strange, that I have not. I wonder if your feelings on this matter are clear, Lord Vader."
"378" "VADER" "They are clear, my Master."
"379" "EMPEROR" "Then you must go to the Sanctuary Moon and wait for them."
"380" "VADER" "He will come to me?"
"381" "EMPEROR" "I have foreseen it. His compassion for you will be his undoing. He will come to you and then you will bring him before me."
"382" "VADER" "As you wish."
"383" "HAN" "Luke! Luke!"
"384" "THREEPIO" "Oh, Master Luke."
"385" "LUKE" "There's two more wrecked speeders back there. And I found this."
"386" "THREEPIO" "I'm afraid that Artoo's sensors can find no trace of Princess Leia."
"387" "HAN" "I hope she's alright."
"388" "HAN" "What, Chewie? What? Chewie!"
"389" "HAN" "Hey, I don't get it."
"390" "HAN" "Nah, it's just a dead animal, Chewie."
"391" "LUKE" "Chewie, wa-wait!  Don't!"
"392" "HAN" "Nice work. Great, Chewie! Great! Always thinking with your stomach."
"393" "LUKE" "Will you take it easy? Let's just figure out a way to get out of this thing.  Han, can you reach my lightsaber?"
"394" "HAN" "Yeah, sure."
"395" "THREEPIO" "Artoo, I'm not sure that's such a good idea. It's a very long dro-o-op!!"
"396" "HAN" "Wha--?  Hey!  Point that thing someplace else."
"397" "HAN" "Hey!"
"398" "LUKE" "Han, don't. It'll be all right."
"399" "LUKE" "Chewie, give 'em your crossbow."
"400" "THREEPIO" "Oh, my head. Oh, my goodness!"
"401" "LUKE" "Do you understand anything they're saying?"
"402" "THREEPIO" "Oh, yes, Master Luke!  Remember that I am fluent in over six million forms of communication."
"403" "HAN" "What are you telling them?"
"404" "THREEPIO" "Hello, I think... I could be mistaken. They're using a very primitive dialect.  But I do believe they think I am some sort of god."
"405" "HAN" "Well, why don't you use your divine influence and get us out of this?"
"406" "THREEPIO" "I beg your pardon, General Solo, but that just wouldn't be proper."
"407" "HAN" "Proper?!"
"408" "THREEPIO" "It's against my programming to impersonate a deity."
"409" "HAN" "Why, you--"
"410" "HAN" "My mistake. He's an old friend of mine."
"411" "HAN" "I have a really bad feeling about this."
"412" "HAN" "What did he say?"
"413" "THREEPIO" "I'm rather embarrassed, General Solo, but it appears you are to be the main course at a banquet in my honor."
"414" "HAN and LUKE" "Leia!"
"415" "LEIA" "Oh!"
"416" "THREEPIO" "Your Royal Highness."
"417" "LEIA" "But these are my friends. Threepio, tell them they must be set free."
"418" "HAN" "Somehow, I got the feeling that didn't help us very much."
"419" "LUKE" "Threepio, tell them if they don't do as you wish, you'll become angry and use your magic."
"420" "THREEPIO" "But Master Luke, what magic? couldn't possibly --"
"421" "LUKE" "Just tell them."
"422" "THREEPIO" "You see, Master Luke; they didn't believe me. Just..."
"423" "THREEPIO" "... as I said they wouldn't. Wha-wha-what's happening! Oh! Oh, dear! Oh!"
"424" "THREEPIO" "Put me down! He-e-elp! Master Luke! Artoo! Somebody, somebody, help! Master Luke, Artoo! Artoo, quickly! Do something, somebody! Oh! Ohhh!"
"425" "THREEPIO" "Oh, oh, oh, oh! Thank goodness."
"426" "LUKE" "Thanks, Threepio."
"427" "THREEPIO" "I...I never knew I had it in me."
"428" "THREEPIO" "Yes, Artoo. I was just coming to that."
"429" "HAN" "What's going on?"
