"V1" "V2"
"128" "LANDO" "THREEPIO"
"129" "LANDO" "TROOPER"
"130" "LANDO" "VADER"
"131" "LANDO" "WEDGE"
"132" "LANDO" "YODA"
"133" "LEIA" "LUKE"
"134" "LEIA" "OWEN"
"135" "LEIA" "PIETT"
"136" "LEIA" "RED LEADER"
"137" "LEIA" "TARKIN"
"138" "LEIA" "THREEPIO"
"139" "LEIA" "TROOPER"
"140" "LEIA" "VADER"
"141" "LEIA" "WEDGE"
"142" "LEIA" "YODA"
"143" "LUKE" "OWEN"
"144" "LUKE" "PIETT"
"145" "LUKE" "RED LEADER"
"146" "LUKE" "TARKIN"
"147" "LUKE" "THREEPIO"
"148" "LUKE" "TROOPER"
"149" "LUKE" "VADER"
"150" "LUKE" "WEDGE"
"151" "LUKE" "YODA"
"152" "OWEN" "PIETT"
"153" "OWEN" "RED LEADER"
"154" "OWEN" "TARKIN"
"155" "OWEN" "THREEPIO"
"156" "OWEN" "TROOPER"
"157" "OWEN" "VADER"
"158" "OWEN" "WEDGE"
"159" "OWEN" "YODA"
"160" "PIETT" "RED LEADER"
"161" "PIETT" "TARKIN"
"162" "PIETT" "THREEPIO"
"163" "PIETT" "TROOPER"
"164" "PIETT" "VADER"
"165" "PIETT" "WEDGE"
"166" "PIETT" "YODA"
"167" "RED LEADER" "TARKIN"
"168" "RED LEADER" "THREEPIO"
"169" "RED LEADER" "TROOPER"
"170" "RED LEADER" "VADER"
"171" "RED LEADER" "WEDGE"
"172" "RED LEADER" "YODA"
"173" "TARKIN" "THREEPIO"
"174" "TARKIN" "TROOPER"
"175" "TARKIN" "VADER"
"176" "TARKIN" "WEDGE"
"177" "TARKIN" "YODA"
"178" "THREEPIO" "TROOPER"
"179" "THREEPIO" "VADER"
"180" "THREEPIO" "WEDGE"
"181" "THREEPIO" "YODA"
"182" "TROOPER" "VADER"
"183" "TROOPER" "YODA"
"184" "VADER" "WEDGE"
"185" "VADER" "YODA"
"186" "WEDGE" "YODA"
